"V1","V2","V3","V4","V5","V6","V7"
"","","","2005","","2006",""
"","","","Members of Represented","","Members of","Represented"
"","","","unions 1 by unions 2","","unions 1","by unions 2"
"","State","Total","","Total","",""
"","","em-","Percent Percent","em-","Percent","Percent"
"","","ployed","ofTotal Totalem- of Total em- of","ployed","of Total em-","em-"
"","","","ployed ployed","","ployed","ployed"
"Alabama",".....................................................................","1,909","195 10.2 223 11.7","1,930","170 8.8","194 10.0"
"Alaska .........................................................................","","275","63 22.8 66 24.1","280","62 22.2","67 23.8"
"Arizona .......................................................................","","2,366","145 6.1 181 7.7","2,584","197 7.6","250 9.7"
"Arkansas .....................................................................","","1,138","54 4.8 68 6.0","1,130","58 5.1","67 6.0"
"California","....................................................................","14,687","2,424 16.5 2,610 17.8","14,501","2,273 15.7","2,444 16.9"
"Colorado .....................................................................","","2,052","170 8.3 193 9.4","2,154","165 7.7","186 8.6"
"Connecticut .................................................................","","1,550","247 15.9 263 17.0","1,591","247 15.6","263 16.5"
"Delaware","....................................................................","386","46 11.8 50 12.9","396","43 10.8","45 11.4"
"District of Columbia","....................................................","259","29 11.3 33 12.8","246","25 10.3","30 12.2"
"Florida .........................................................................","","7,389","401 5.4 532 7.2","7,676","397 5.2","497 6.5"
"Georgia .......................................................................","","3,765","190 5.0 226 6.0","3,974","176 4.4","230 5.8"
"Hawaii .........................................................................","","545","141 25.8 145 26.7","562","139 24.7","146 25.9"
"Idaho ...........................................................................","","606","31 5.2 38 6.3","620","37 6.0","45 7.2"
"Illinois ..........................................................................","","5,473","927 16.9 965 17.6","5,684","931 16.4","979 17.2"
"Indiana ........................................................................","","2,789","346 12.4 368 13.2","2,787","334 12.0","362 13.0"
"Iowa ............................................................................","","1,369","157 11.5 185 13.5","1,424","161 11.3","199 14.0"
"Kansas ........................................................................","","1,210","85 7.0 115 9.5","1,236","99 8.0","115 9.3"
"Kentucky .....................................................................","","1,696","164 9.7 184 10.8","1,752","172 9.8","196 11.2"
"Louisiana","....................................................................","1,778","114 6.4 132 7.4","1,676","107 6.4","121 7.2"
"Maine ..........................................................................","","582","69 11.9 79 13.6","584","69 11.9","79 13.5"
"Maryland .....................................................................","","2,530","337 13.3 379 15.0","2,614","342 13.1","386 14.8"
"Massachusetts ............................................................","","2,886","402 13.9 431 14.9","2,859","414 14.5","438 15.3"
"Michigan",".....................................................................","4,288","880 20.5 916 21.4","4,299","842 19.6","879 20.4"
"Minnesota ...................................................................","","2,494","392 15.7 410 16.4","2,479","395 16.0","416 16.8"
"Mississippi","..................................................................","1,089","77 7.1 105 9.7","1,065","60 5.6","78 7.3"
"Missouri","......................................................................","2,532","290 11.5 319 12.6","2,610","284 10.9","310 11.9"
"Montana ......................................................................","","391","42 10.7 48 12.2","397","48 12.2","52 13.1"
"Nebraska","....................................................................","830","69 8.3 79 9.5","831","66 7.9","79 9.5"
"Nevada .......................................................................","","1,051","145 13.8 158 15.1","1,124","167 14.8","191 17.0"
"New Hampshire ..........................................................","","627","65 10.4 72 11.5","620","63 10.1","70 11.3"
"New Jersey .................................................................","","3,868","791 20.5 838 21.7","3,827","770 20.1","825 21.6"
"New Mexico ................................................................","","777","63 8.1 83 10.7","796","62 7.8","92 11.5"
"New York ....................................................................","","8,008","2,090 26.1 2,201 27.5","8,115","1,981 24.4","2,060 25.4"
"North Carolina","............................................................","3,631","107 2.9 143 3.9","3,810","126 3.3","155 4.1"
"North Dakota","..............................................................","289","21 7.3 26 9.2","300","20 6.8","24 8.0"
"Ohio ............................................................................","","5,039","804 16.0 866 17.2","5,170","734 14.2","801 15.5"
"Oklahoma","...................................................................","1,432","77 5.4 91 6.4","1,453","93 6.4","112 7.7"
"Oregon ........................................................................","","1,470","213 14.5 231 15.7","1,527","211 13.8","225 14.7"
"Pennsylvania","..............................................................","5,456","753 13.8 818 15.0","5,457","745 13.6","802 14.7"
"Rhode Island","..............................................................","494","79 15.9 83 16.8","498","76 15.3","79 16.0"
"South Carolina ............................................................","","1,739","40 2.3 58 3.3","1,775","59 3.3","74 4.2"
"South Dakota ..............................................................","","350","21 5.9 29 8.2","351","21 5.9","25 7.2"
"Tennessee ..................................................................","","2,368","128 5.4 156 6.6","2,550","153 6.0","174 6.8"
"Texas ..........................................................................","","9,485","506 5.3 590 6.2","9,751","476 4.9","576 5.9"
"Utah ............................................................................","","1,035","51 4.9 63 6.1","1,121","61 5.4","69 6.1"
"Vermont","......................................................................","287","31 10.8 37 13.0","305","34 11.0","39 12.9"
"Virginia ........................................................................","","3,406","165 4.8 211 6.2","3,446","139 4.0","179 5.2"
"Washington .................................................................","","2,746","523 19.1 559 20.4","2,772","549 19.8","583 21.0"
"West Virginia","..............................................................","688","99 14.4 107 15.5","710","101 14.2","110 15.5"
"Wisconsin","...................................................................","2,551","410 16.1 438 17.2","2,587","386 14.9","415 16.1"
"Wyoming .....................................................................","","228","18 7.9 22 9.5","235","19 8.3","24 10.0"
